feature,class_label
"[-8.0213852e+01  4.2544571e+01 -7.7714539e+01  3.9775070e+01
 -1.2318114e+01  2.1735176e+01  3.3418591e+00 -1.1410970e+01
  1.0478449e+01 -1.5705544e+00 -3.7769664e-02  1.1910034e+01
 -7.7721314e+00  3.6484699e+00 -4.4727664e+00  1.3896238e+01
 -2.4651668e+00 -6.1305604e+00  1.4169450e+00  2.2297707e+00
 -3.5997686e+00  5.5207294e-01  2.3682022e+00  1.1793069e+00
 -7.2038922e+00  8.1830416e+00 -6.0383687e+00 -2.6598284e-01
  2.1985333e+00 -2.9046884e+00  2.1064658e+00  7.4678594e-01
 -1.1243593e+00  1.1026663e+00 -2.2382846e+00  2.4283643e+00
 -3.0599492e+00 -4.2972460e-01 -3.6916535e+00  3.0655107e+00]",0
"[-2.80487461e+01  2.63322678e+01 -6.23998260e+01  3.53948555e+01
 -6.79599190e+00  1.36937685e+01 -6.18438005e-01 -5.91349030e+00
  4.29689550e+00  3.57432477e-03 -4.63863701e-01  9.26957607e+00
 -4.41053534e+00  1.85098410e+00 -3.75072336e+00  1.31896734e+01
 -4.75787258e+00 -4.61817122e+00  3.99372518e-01  3.45432377e+00
 -4.35569620e+00  5.10492444e-01  7.47569680e-01  1.69445837e+00
 -4.69405603e+00  5.57157803e+00 -3.44441080e+00  1.11555862e+00
 -9.09585834e-01  1.70655489e+00 -6.23522401e-01  1.11587834e+00
 -1.05531907e+00 -1.11053264e+00 -8.95171940e-01  2.07353830e+00
 -4.40950489e+00  1.82680166e+00 -4.58172464e+00  2.85410786e+00]",0
"[-61.726902    13.214756   -67.307144    27.890518    -5.765431
  18.44045      1.6643499  -10.857727    10.463149    -8.4013605
   3.1667047   10.552215    -3.7987037    3.8498664   -8.498182
  12.2194605    5.2574883  -12.551646     1.6984485    7.289995
  -3.4248173   -3.26588      2.6532965    3.5794945   -7.868777
   3.0651824   -1.9565624   -2.4584525    5.6024504   -0.36798087
  -2.8300662    3.4177892    0.26588255  -0.55955637   0.20220108
  -0.09905799  -1.3509097   -0.6620282   -2.1565673    2.8259757 ]",0
"[ 2.2253319e+01 -1.0195801e+01 -5.2007988e+01  1.8932449e+01
 -1.2607269e+01  1.3833775e+01  6.3712378e+00 -1.4960979e+01
  9.3832903e+00 -6.0945377e+00 -2.0610094e+00  1.3112964e+01
 -3.6602526e+00 -1.6263199e-01 -4.0302582e+00  7.8721828e+00
  3.7921283e+00 -1.2398076e+01  2.3296852e+00  7.4810729e+00
 -6.5987778e+00  6.3404489e-01  2.3665984e+00 -4.4057257e-02
 -2.7396047e+00  2.8116372e+00 -2.4205325e+00 -1.5963663e+00
  4.5013914e+00  1.3060304e+00 -4.0403743e+00  3.7125599e+00
  1.2984008e-02 -1.9186020e+00  1.1217040e+00 -3.3548129e-01
 -3.2452900e+00  1.4626521e+00 -1.5669813e+00  2.2049637e+00]",0
"[-2.43691528e+02  7.77583237e+01 -6.89899216e+01  6.41787720e+01
 -3.20823784e+01  2.99506054e+01  9.00581419e-01 -1.41337271e+01
  1.19506121e+01 -4.66842699e+00  1.02483356e+00  1.45024023e+01
 -1.15328503e+01  1.23604317e+01 -6.68826246e+00  1.82124252e+01
 -5.10978460e+00 -4.87364918e-01  1.12821065e-01 -5.08260107e+00
 -1.56984043e+00  7.60969448e+00 -2.64118814e+00  5.20574427e+00
 -7.03795052e+00  5.98940516e+00 -4.86613512e+00  3.68090272e+00
 -1.96809185e+00 -3.07088077e-01  2.32165337e+00 -4.60289860e+00
  7.48737216e-01  2.85223275e-01 -3.67269444e+00  6.01768303e+00
 -2.34439635e+00  2.72180796e+00 -5.70341969e+00 -1.54078197e+00]",0
"[-173.12222      64.37129    -111.129944     72.93696     -44.496723
   31.81004     -10.2335005   -12.048595     22.943853     -6.2881985
   10.304904      8.826971     -8.486474     14.608822     -9.979147
   16.803625     -4.0890384     2.9744558     2.1232996    -0.24264854
    0.3610851     4.754791     -2.959524      5.749494     -8.1213045
    0.3916799    -2.0787582    -4.5752034     1.6796074     0.21470587
   -0.26798165    1.2606138     4.5431633    -1.4518936     0.562361
    0.3931682     0.64593667    2.1203978    -3.3817365    -0.9119432 ]",0
"[-141.27881      67.967514   -100.72954      70.35387     -55.1004
   32.147316     -5.7730474   -19.19526      25.39917     -13.544348
    9.200441      9.231974     -3.5743127    14.756001     -3.5045307
   13.41413       0.18934983   -6.87276       0.70066357    1.660991
   -2.374079      2.1012635     2.8677323     2.2026043     0.86886317
    4.4179487    -0.23825252   -3.2307742     5.8694777    -4.4712944
   -1.6286181    -3.133283     -3.1463282     0.37682247   -0.804491
   -0.17827645   -3.9844153     0.21796103    0.9279768     0.902399  ]",0
"[-6.8413971e+01  2.9371975e+01 -8.3592133e+01  5.0865696e+01
 -2.6050468e+01  9.3452663e+00 -4.4685353e-02 -1.6964649e+01
  9.4195900e+00  2.3298309e+00  3.7931798e+00  9.1548719e+00
 -7.5388188e+00  3.9690106e+00  4.0500522e-02  1.2371997e+01
 -3.2953503e+00 -3.7374468e+00  3.6771538e+00 -2.6206939e+00
 -1.5725372e+00  1.8481442e+00 -7.6919359e-01  3.1345682e+00
 -4.5128975e+00  2.6971223e+00  1.7350460e+00 -2.8006389e+00
 -4.6427612e+00  2.2696810e+00  2.8363655e+00 -6.9943368e-01
  3.8723025e+00 -2.6731446e-01  4.0196279e-01 -1.2054832e+00
 -6.5014510e+00  1.0091234e+00 -2.5942461e+00  1.7915813e+00]",0
"[ -7.4785285    0.24116078 -35.407272    26.0621     -17.651579
  10.989173     1.3408926  -10.998568     7.9856563   -5.5089827
   3.088485     8.507187    -9.0273905    6.8450303   -3.0398588
   5.4627256    0.9454054   -4.6644583    0.93787163   3.8724837
  -5.3162103    2.3132455   -3.2893577    5.8829064   -6.6217847
   1.0805875    0.8257178   -0.4364701   -2.2962723    3.737229
  -4.7527843    4.7575617   -2.7324102    2.0121043    0.11245611
   0.7591157   -4.1413245    1.8080223   -2.7514486    4.5046077 ]",0
"[-34.09529     15.805293   -97.01829     45.387253   -42.9513
  19.896065     3.534506   -14.7231455   13.73277     -5.794307
   0.3030205   17.65227     -3.5326405    1.6100955   -1.8981662
  14.554823     2.7931154  -10.267336     2.8652852    6.071834
  -7.97022      1.3188397    2.142421     1.5737629   -3.7078621
   1.6517252    5.5832224   -1.5336901    4.213778     1.3807459
  -7.2432175    4.254038     1.0484492   -7.6621475    4.700084
  -1.530786    -2.8833475   -0.40221918  -1.0693021    2.7669337 ]",0
